concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
70000001	Logical Observation Identifiers Names and Codes (Regenstrief Institute)	Metadata	Vocabulary	Vocabulary		OMOP generated	19700101	20991231	
60000001	Previous-pregnancies	Observation	IPRD	Survey	s	IPRD.DE12	20120608	20991231	
60000002	Systolic blood pressure	Observation	IPRD	Survey	s	ANC.B8.DE17	20120608	20991231	
60000003	Diastolic blood pressure	Observation	IPRD	Survey	s	ANC.B8.DE19	20120608	20991231	
60000004	Current  weight	Observation	IPRD	Survey	s	ANC.B8.DE3	20120608	20991231	
60000005	Height	Observation	IPRD	Survey	s	ANC.B8.DE1	20120608	20991231	
60000006	BMI	Observation	IPRD	Survey	s	ANC.B8.DE4	20120608	20991231	
60000007	Blood type	Observation	IPRD	Survey	s	ANC.B9.DE24	20120608	20991231	
60000008	Rh factor	Observation	IPRD	Survey	s	ANC.B9.DE29	20120608	20991231	
60000009	Hepatitis B test result	Observation	IPRD	Survey	s	ANC.B9.DE66	20120608	20991231	
60000010	hepatitis C test result	Observation	IPRD	Survey	s	ANC.B9.DE89	20120608	20991231	
60000011	Syphilis test result	Observation	IPRD	Survey	s	ANC.B9.DE107	20120608	20991231	
60000012	HIV test result	Observation	IPRD	Survey	s	ANC.B9.DE41	20120608	20991231	
60000013	Unspecified malaria	Observation	IPRD	Survey	s	B54	20120608	20991231	
60000014	Blood haemoglobin test result	Observation	IPRD	Survey	s	ANC.B9.DE186	20120608	20991231	
60000015	Blood PCV test result	Observation	IPRD	Survey	s	blood-pcv	20120608	20991231	
60000016	HbsAg test result	Observation	IPRD	Survey	s	hbsAg-test-result	20120608	20991231	
60000017	sickle cell test result	Observation	IPRD	Survey	s	sickle-cell-test-result	20120608	20991231	
60000018	Gestational Diabetes Blood Test	Observation	IPRD	Survey	s	gestational-diabetes-blood-test	20120608	20991231	
60000019	Gestational Diabetes Blood Test	Observation	IPRD	Survey	s	ANC.B9.DE168	20120608	20991231	
60000020	Urine dipstick result - protein	Observation	IPRD	Survey	s	ANC.B9.DE144	20120608	20991231	
60000021	Urine dipstick result - glucose	Observation	IPRD	Survey	s	ANC.B9.DE150	20120608	20991231	
60000022	Given iron and folic acid	Observation	IPRD	Survey	s	ANC.B10.DE92	20120608	20991231	
60000023	Given calcium tablet	Observation	IPRD	Survey	s	calcium-tablet-given	20120608	20991231	
60000024	LLIN given	Observation	IPRD	Survey	s	llin-given	20120608	20991231	
60000025	Associated problem	Observation	IPRD	Survey	s	IPRD.DE8	20120608	20991231	
60000026	Outcome of visit	Observation	IPRD	Survey	s	outcome-of-visit	20120608	20991231	
60000027	Last menstrual period (LMP) date	Observation	IPRD	Survey	s	ANC.B6.DE14	20120608	20991231
60000028	Female Genital Mutilation	Procedure	IPRD	Surevy	s	IPRD.DE1	20120608	20991231		
60000031	Foetal Position	Observation	IPRD	Survey	s	ANC.B8.DE111	20120608	20991231	
60000032	foetal heart sound	Observation	IPRD	Survey	s	ANC.B8.DE106	20120608	20991231	
60000033	Foetal Height	Measurement	IPRD	Survey	s	ANC.B6.DE21	20120608	20991231	
60000034	Foetal Movement	Observation	IPRD	Survey	s	ANC-B7-DE98	20120608	20991231	
60000035	Parity	Observation	IPRD	Survey	s	ANC.B6.DE32	20120608	20991231	
60000036	Delivery date	Observation	IPRD	Survey	s	ANC.End.12	20120608	20991231	
60000037	Delivery mode	Observation	IPRD	Survey	s	ANC.End.18	20120608	20991231	
60000038	Delivery complications	Observation	IPRD	Survey	s	ANC.End.25	20120608	20991231	
60000039	Counselling on postpartum family planning conducted	Observation	IPRD	Survey	s	ANC.B10.DE144	20120608	20991231	
60000040	Birth weight	Measurement	IPRD	Survey	s	ANC.End.23	20120608	20991231	
60000041	Preterm Birth	Observation	IPRD	Survey	s	ANC.End.17	20120608	20991231	
60000042	Hematocrit [Volume Fraction] of Blood	Measurement	IPRD	Survey	s	20570-8	20120608	20991231	
60000043	Reason Referred Out	Observation	IPRD	Survey	s	reason-referred-out	20120608	20991231	
60000044	Family planning method selected	Observation	IPRD	Survey	s	ANC.B10.DE145	20120608	20991231	
60000045	Birth Certificate Collection Date	Observation	IPRD	Survey	s	IPRD.DE187	20120608	20991231	
60000046	Birth Certificate Issued Date	Observation	IPRD	Survey	s	IPRD.DE186	20120608	20991231	
60000047	Bilateral Pitting Oedema	Observation	IPRD	Survey	s	IPRD.DE174	20120608	20991231	
60000048	Infant Feeding	Observation	IPRD	Survey	s	IPRD.DE168	20120608	20991231	
60000049	The client was referred for Oral Contraceptives	Observation	IPRD	Survey	s	IPRD.DE160	20120608	20991231	
60000050	Biometric Data	Observation	IPRD	Survey	s	IPRD.DE156	20120608	20991231	
60000051	Type of visit	Observation	IPRD	Survey	s	IPRD.DE155	20120608	20991231	
60000052	Mid Upper Arm Circumference	Measurement	IPRD	Survey	s	IPRD.DE154	20120608	20991231	
60000053	Outcome of Visit	Observation	IPRD	Survey	s	IPRD.DE125	20120608	20991231	
60000054	KMC Status	Observation	IPRD	Survey	s	IPRD.DE116	20120608	20991231	
60000055	Birth Day	Observation	IPRD	Survey	s	IPRD.DE108	20120608	20991231	
60000056	Complementary Feeding	Observation	IPRD	Survey	s	IPRD.DE106	20120608	20991231	
60000057	Delivery Day	Observation	IPRD	Survey	s	IPRD.DE101	20120608	20991231	
60000058	Type of FP Client	Observation	IPRD	Survey	s	IPRD.DE97	20120608	20991231	
60000059	First Time Modern FP User	Observation	IPRD	Survey	s	IPRD.DE96	20120608	20991231	
60000060	Postnatal Clinic Attendance	Observation	IPRD	Survey	s	IPRD.DE90	20120608	20991231	
60000061	Counselling on Family Planning	Observation	IPRD	Survey	s	IPRD.DE85	20120608	20991231	
60000062	Counselling on Exclusive breastfeeding	Observation	IPRD	Survey	s	IPRD.DE78	20120608	20991231	
60000063	Body Temperature at 1 hour	Measurement	IPRD	Survey	s	IPRD.DE77	20120608	20991231	
60000064	Breastfeeding and thermal care	Observation	IPRD	Survey	s	IPRD.DE74	20120608	20991231	
60000065	Chlorhexidine (CHX) gel application	Observation	IPRD	Survey	s	IPRD.DE71	20120608	20991231	
60000066	Time cord was clamped	Observation	IPRD	Survey	s	IPRD.DE68	20120608	20991231	
60000067	Baby Dead	Observation	IPRD	Survey	s	IPRD.DE67	20120608	20991231	
60000068	Stillbirth Type	Observation	IPRD	Survey	s	IPRD.DE63	20120608	20991231	
60000069	Resuscitated with bag & mask	Observation	IPRD	Survey	s	IPRD.DE62	20120608	20991231	
60000070	Not breathing/crying at birth	Observation	IPRD	Survey	s	IPRD.DE61	20120608	20991231	
60000071	Abortion Type	Observation	IPRD	Survey	s	IPRD.DE53	20120608	20991231	
60000072	MDA Conducted	Observation	IPRD	Survey	s	IPRD.DE52	20120608	20991231	
60000073	Mother Alive Indicator	Observation	IPRD	Survey	s	IPRD.DE51	20120608	20991231	
60000074	Pregnant women admitted with Eclampsia who received MgSO4	Observation	IPRD	Survey	s	IPRD.DE50	20120608	20991231	
60000075	Transportation	Observation	IPRD	Survey	s	IPRD.DE47	20120608	20991231	
60000076	Decision in seeking care	Observation	IPRD	Survey	s	IPRD.DE42	20120608	20991231	
60000077	Type of Client	Observation	IPRD	Survey	s	IPRD.DE39	20120608	20991231	
60000078	Received Misoprotol - Administered	Observation	IPRD	Survey	s	IPRD.DE33	20120608	20991231	
60000079	Received Oxytoxin - Administered	Observation	IPRD	Survey	s	IPRD.DE32	20120608	20991231	
60000080	Partograph Image	Observation	IPRD	Survey	s	IPRD.DE31	20120608	20991231	
60000081	Birth Certificate Image	Observation	IPRD	Survey	s	IPRD.DE22	20120608	20991231	
60000082	Admission Outcome	Observation	IPRD	Survey	s	IPRD.DE188	20120608	20991231	
60000083	Gender Based Violence	Observation	IPRD	Survey	s	IPRD.DE193	20120608	20991231	
60000084	Female Genital Mutilation	Procedure	IPRD	Survey	s	IPRD.DE1	20120608	20991231	
60000085	Family Planning	Procedure	IPRD	Survey	s	IPRD.DE2	20120608	20991231	
60000086	Maternal nutrition	Procedure	IPRD	Survey	s	IPRD.DE3	20120608	20991231	
60000087	Exclusive breastfeeding	Procedure	IPRD	Survey	s	IPRD.DE13	20120608	20991231	
60000088	HIV testing services	Procedure	IPRD	Survey	s	IPRD.DE14	20120608	20991231	
60000089	HIV test conducted	Procedure	IPRD	Survey	s	IPRD.DE15	20120608	20991231	
60000090	Counselling on postpartum family planning not conducted	Procedure	IPRD	Survey	s	IPRD.DE81	20120608	20991231	
60000091	Counselling on Family Planning	Procedure	IPRD	Survey	s	IPRD.DE85	20120608	20991231	
60000092	Complementary Feeding	Procedure	IPRD	Survey	s	IPRD.DE106	20120608	20991231	
60000093	Infection Prevention	Procedure	IPRD	Survey	s	IPRD.DE107	20120608	20991231	
60000094	Vaginal Examination	Procedure	IPRD	Survey	s	IPRD.DE119	20120608	20991231	
60000095	Post exposure prophylaxis PEP test conducted	Procedure	IPRD	Survey	s	IPRD.DE231	20120608	20991231	
60000096	STD/STI test conducted	Procedure	IPRD	Survey	s	IPRD.DE232	20120608	20991231	
60000097	General Counselling conducted	Procedure	IPRD	Survey	s	IPRD.DE233	20120608	20991231	
60000098	Heart	Condition	IPRD	Survey	s	IPRD.DE9	20120608	20991231	
60000099	YAWS	Condition	IPRD	Survey	s	IPRD.DE10	20120608	20991231	
60000100	Diarrhoea in the newborn	Condition	IPRD	Survey	s	IPRD.DE93	20120608	20991231	
60000101	Mastitis of the left breast	Condition	IPRD	Survey	s	IPRD.DE94	20120608	20991231	
60000102	Fast Breathing (above 60 breaths per minute)	Condition	IPRD	Survey	s	IPRD.DE109	20120608	20991231	
60000103	Chest In-drawing	Condition	IPRD	Survey	s	IPRD.DE110	20120608	20991231	
60000104	Temperature (less 35.5oC or more than 37.5oC)	Condition	IPRD	Survey	s	IPRD.DE111	20120608	20991231	
60000105	Not Feeding	Condition	IPRD	Survey	s	IPRD.DE112	20120608	20991231	
60000106	No Movement and Convulsion	Condition	IPRD	Survey	s	IPRD.DE113	20120608	20991231	
60000107	Tetanus	Condition	IPRD	Survey	s	IPRD.DE114	20120608	20991231	
60000108	Jaundice	Condition	IPRD	Survey	s	IPRD.DE115	20120608	20991231	
60000109	Malaria	Condition	IPRD	Survey	s	IPRD.DE221	20120608	20991231	
60000110	Tuberculosis	Condition	IPRD	Survey	s	IPRD.DE222	20120608	20991231	
